repressor,RBS,Y_min,Y_max,K,n
AmeR,F1,0.2,3.8,0.09,1.4
AmtR,A1,0.06,3.8,0.07,1.6
BetI,E1,0.07,3.8,0.41,2.4
BM3R1,B1,0.004,0.5,0.04,3.4
BM3R1,B2,0.005,0.5,0.15,2.9
BM3R1,B3,0.01,0.8,0.26,3.4
HlyIIR,H1,0.07,2.5,0.19,2.6
IcaRA,I1,0.08,2.2,0.1,1.4
LitR,L1,0.07,4.3,0.05,1.7
PhIF,P1,0.01,3.9,0.03,4.0
PhIF,P2,0.02,4.1,0.13,3.9
PhIF,P3,0.02,6.8,0.23,4.2
QacR,Q1,0.01,2.4,0.05,2.7
QacR,Q2,0.03,2.8,0.21,2.4
SrpR,S1,0.003,1.3,0.01,2.9
SrpR,S2,0.003,2.1,0.04,2.6
SrpR,S3,0.004,2.1,0.06,2.8
SrpR,S4,0.007,2.1,0.1,2.8
